4.386,-0.035,0.570,0.479,-0.221,0.434,-1.315,0.800,-0.928,0.029,-0.557,0.510,1.373,0.925,-0.583
4.918,0.001,0.510,0.740,-0.652,-0.526,-1.320,0.654,-1.163,0.445,-0.023,0.047,0.989,0.304,-0.471
5.579,0.770,-0.677,1.056,-0.204,-0.491,-1.521,0.030,-0.940,0.354,-1.108,0.401,1.117,0.347,-0.355
5.171,-0.015,-0.533,1.212,-0.661,0.709,-1.212,0.796,-1.211,0.127,0.231,0.442,1.949,0.617,-0.094
5.431,0.586,-0.420,0.933,0.294,-0.133,-1.438,0.662,-0.972,-0.163,0.444,0.628,1.373,0.406,-0.271
5.721,0.954,-0.477,1.069,-0.171,0.349,-1.283,0.641,-1.105,0.521,-0.335,0.180,1.535,-0.035,-0.374
6.001,0.463,-0.497,1.019,-0.675,0.039,-1.661,0.650,-1.480,0.263,-0.355,0.208,2.204,0.644,-0.079
5.908,0.178,-1.112,1.250,-1.307,0.105,-1.002,0.621,-1.587,-0.053,-0.133,0.870,1.990,0.271,0.364
6.233,0.163,-0.382,1.146,-1.083,0.103,-1.637,0.724,-1.462,0.403,-0.565,0.498,1.721,0.158,0.196
5.862,0.935,-0.489,1.209,-0.459,0.459,-1.432,1.100,-1.457,0.181,-0.225,0.405,1.820,-0.059,0.123
5.795,0.468,-0.480,0.587,-0.782,0.536,-1.672,1.015,-1.831,0.118,-0.736,0.757,1.751,0.955,-0.271
6.078,0.420,-1.179,1.179,-0.933,0.020,-1.254,0.358,-1.773,-0.044,0.140,0.876,1.685,0.679,-0.016
6.385,0.469,-0.744,1.110,-0.876,-0.168,-1.159,1.358,-1.637,-0.005,-0.473,0.816,1.728,0.388,0.330
6.394,0.165,-0.593,1.286,-0.538,-0.194,-1.364,1.146,-1.568,-0.378,-0.557,0.807,1.964,-0.000,0.389
6.556,0.074,-0.946,1.161,-0.465,-0.401,-1.834,1.342,-1.447,-0.280,-0.730,1.017,1.767,0.499,0.236
6.442,0.001,-0.948,1.255,-0.517,-0.294,-1.665,1.414,-1.468,0.060,-0.827,0.906,2.239,0.235,0.005
6.991,0.524,-0.507,1.258,-0.477,0.314,-1.783,1.440,-1.738,-0.092,-0.606,0.931,1.632,0.140,-0.015
6.382,0.161,-0.570,1.323,-0.374,0.270,-1.411,1.423,-1.430,0.054,-0.402,0.903,1.800,0.057,0.136
6.619,0.190,-0.667,1.350,-0.214,0.111,-1.400,1.159,-1.708,-0.008,-0.193,0.759,1.959,0.081,0.580
6.706,0.169,-0.584,1.516,-0.611,0.061,-1.603,1.172,-1.779,0.270,-0.391,1.081,2.010,0.159,0.381
6.709,0.374,-0.768,1.578,-0.285,0.482,-1.276,1.387,-1.637,0.106,-0.234,0.822,1.813,0.039,0.354
